# Prime knot PD codes for K3..K11.
# K3..K10: prime-link-knot-10 0.0.5 (MIT).
# K11: Spherogram 2.4.1 Hoste-Thistlethwaite table, shifted to 1-based labels.
K9a2|[[2,8,3,7],[4,14,5,13],[6,4,7,3],[8,2,9,1],[10,18,11,17],[12,16,13,15],[14,6,15,5],[16,12,17,11],[18,10,1,9]]
K9a3|[[1,11,2,10],[3,15,4,14],[5,13,6,12],[7,17,8,16],[9,1,10,18],[11,3,12,2],[13,5,14,4],[15,7,16,6],[17,9,18,8]]
K9a4|[[2,14,3,13],[4,12,5,11],[6,16,7,15],[8,18,9,17],[10,6,11,5],[12,4,13,3],[14,2,15,1],[16,8,17,7],[18,10,1,9]]
K9a5|[[2,14,3,13],[4,12,5,11],[6,16,7,15],[8,18,9,17],[10,6,11,5],[12,4,13,3],[14,2,15,1],[16,10,17,9],[18,8,1,7]]
K9a6|[[1,13,2,12],[3,7,4,6],[5,15,6,14],[7,3,8,2],[9,17,10,16],[11,1,12,18],[13,5,14,4],[15,9,16,8],[17,11,18,10]]
K9a7|[[2,10,3,9],[4,12,5,11],[6,16,7,15],[8,6,9,5],[10,4,11,3],[12,2,13,1],[14,18,15,17],[16,8,17,7],[18,14,1,13]]
K9a8|[[1,16,2,17],[3,14,4,15],[5,11,6,10],[7,1,8,18],[9,13,10,12],[11,7,12,6],[13,4,14,5],[15,2,16,3],[17,9,18,8]]
K9a9|[[1,13,2,12],[3,9,4,8],[5,15,6,14],[7,17,8,16],[9,3,10,2],[11,1,12,18],[13,5,14,4],[15,7,16,6],[17,11,18,10]]
K9a10|[[1,13,2,12],[3,11,4,10],[5,17,6,16],[7,15,8,14],[9,1,10,18],[11,3,12,2],[13,5,14,4],[15,7,16,6],[17,9,18,8]]
K9a11|[[2,7,3,8],[4,13,5,14],[6,15,7,16],[8,12,9,11],[10,17,11,18],[12,3,13,4],[14,5,15,6],[16,2,17,1],[18,9,1,10]]
K9a12|[[2,9,3,10],[4,16,5,15],[6,14,7,13],[8,3,9,4],[10,18,11,17],[12,8,13,7],[14,6,15,5],[16,2,17,1],[18,12,1,11]]
K9a13|[[2,12,3,11],[4,14,5,13],[6,16,7,15],[8,18,9,17],[10,6,11,5],[12,4,13,3],[14,2,15,1],[16,10,17,9],[18,8,1,7]]
K9a14|[[1,12,2,13],[3,10,4,11],[5,16,6,17],[7,1,8,18],[9,4,10,5],[11,2,12,3],[13,9,14,8],[15,6,16,7],[17,15,18,14]]
